,precision,recall,f1-score,support
Action,0.7163636363636363,0.49622166246851385,0.5863095238095238,397.0
Adventure,0.5298507462686567,0.27626459143968873,0.3631713554987212,257.0
Animation,0.6630434782608695,0.40939597315436244,0.5062240663900415,149.0
Comedy,0.6181818181818182,0.422360248447205,0.5018450184501845,483.0
Crime,0.625,0.46153846153846156,0.5309734513274337,195.0
Documentary,0.6923076923076923,0.2903225806451613,0.4090909090909091,31.0
Drama,0.6666666666666666,0.4957841483979764,0.5686653771760155,593.0
Family,0.6715328467153284,0.42990654205607476,0.5242165242165242,214.0
Fantasy,0.625,0.3592814371257485,0.45627376425855515,167.0
History,0.6923076923076923,0.13043478260869565,0.21951219512195122,69.0
Horror,0.6808510638297872,0.4507042253521127,0.5423728813559322,213.0
Music,0.5106382978723404,0.5,0.5052631578947369,48.0
Mystery,0.4166666666666667,0.12096774193548387,0.1875,124.0
Romance,0.6319018404907976,0.4256198347107438,0.508641975308642,242.0
Science Fiction,0.6776859504132231,0.4581005586592179,0.5466666666666666,179.0
TV Movie,0.6666666666666666,0.041666666666666664,0.0784313725490196,48.0
Thriller,0.6075471698113207,0.39753086419753086,0.48059701492537316,405.0
War,0.5135135135135135,0.41304347826086957,0.4578313253012048,46.0
Western,0.8461538461538461,0.36666666666666664,0.5116279069767442,30.0
micro avg,0.6397441023590564,0.41131105398457585,0.5007041151619465,3890.0
macro avg,0.6343094522363434,0.3655689718069042,0.44659023612200954,3890.0
weighted avg,0.6362346751912916,0.41131105398457585,0.493489300004667,3890.0
samples avg,0.6364233576642336,0.4357428571428571,0.46591611351611345,3890.0
