,precision,recall,f1-score,support
Action,0.7112970711297071,0.4282115869017632,0.5345911949685535,397.0
Adventure,0.5454545454545454,0.16342412451361868,0.25149700598802394,257.0
Animation,0.6710526315789473,0.3422818791946309,0.4533333333333333,149.0
Comedy,0.6127946127946128,0.37681159420289856,0.4666666666666667,483.0
Crime,0.6271186440677966,0.37948717948717947,0.4728434504792332,195.0
Documentary,0.7142857142857143,0.16129032258064516,0.2631578947368421,31.0
Drama,0.6829896907216495,0.4468802698145025,0.5402650356778798,593.0
Family,0.6422764227642277,0.3691588785046729,0.4688427299703264,214.0
Fantasy,0.6825396825396826,0.25748502994011974,0.3739130434782609,167.0
History,0.5384615384615384,0.10144927536231885,0.17073170731707318,69.0
Horror,0.6746031746031746,0.39906103286384975,0.5014749262536873,213.0
Music,0.5333333333333333,0.5,0.5161290322580645,48.0
Mystery,0.5555555555555556,0.04032258064516129,0.07518796992481203,124.0
Romance,0.6178861788617886,0.3140495867768595,0.41643835616438357,242.0
Science Fiction,0.7380952380952381,0.3463687150837989,0.4714828897338403,179.0
TV Movie,0.5,0.041666666666666664,0.07692307692307693,48.0
Thriller,0.6090534979423868,0.3654320987654321,0.4567901234567901,405.0
War,0.41935483870967744,0.2826086956521739,0.33766233766233766,46.0
Western,0.7333333333333333,0.36666666666666664,0.4888888888888889,30.0
micro avg,0.6458433445458914,0.3455012853470437,0.4501758499413834,3890.0
macro avg,0.6215518791701531,0.2990871675591031,0.38614840336221445,3890.0
weighted avg,0.6396777017170139,0.3455012853470437,0.4396109429515313,3890.0
samples avg,0.657512315270936,0.37005238095238097,0.40672116402116404,3890.0
