,precision,recall,f1-score,support
Action,0.7058823529411765,0.27204030226700254,0.3927272727272727,397.0
Adventure,0.3333333333333333,0.01556420233463035,0.02973977695167286,257.0
Animation,0.6666666666666666,0.12080536912751678,0.20454545454545456,149.0
Comedy,0.6259541984732825,0.16977225672877846,0.2671009771986971,483.0
Crime,0.6162790697674418,0.2717948717948718,0.37722419928825623,195.0
Documentary,0.7142857142857143,0.16129032258064516,0.2631578947368421,31.0
Drama,0.6777777777777778,0.3086003372681282,0.4241019698725377,593.0
Family,0.6,0.14018691588785046,0.22727272727272727,214.0
Fantasy,0.7368421052631579,0.08383233532934131,0.15053763440860216,167.0
History,,0.0,0.0,69.0
Horror,0.7076923076923077,0.215962441314554,0.33093525179856115,213.0
Music,0.59375,0.3958333333333333,0.475,48.0
Mystery,0.8,0.03225806451612903,0.06201550387596899,124.0
Romance,0.6052631578947368,0.19008264462809918,0.2893081761006289,242.0
Science Fiction,0.7894736842105263,0.25139664804469275,0.3813559322033898,179.0
TV Movie,,0.0,0.0,48.0
Thriller,0.61875,0.24444444444444444,0.3504424778761062,405.0
War,0.4444444444444444,0.17391304347826086,0.25,46.0
Western,1.0,0.13333333333333333,0.23529411764705882,30.0
micro avg,0.6552901023890785,0.19742930591259641,0.30343737653101543,3890.0
macro avg,0.6609644007500333,0.1674268877058743,0.24793470350019875,3890.0
weighted avg,0.6441901487400045,0.19742930591259641,0.29042945337848974,3890.0
samples avg,0.6673913043478261,0.21855714285714287,0.25293121693121695,3890.0
