,precision,recall,f1-score,support
Action,0.7165354330708661,0.45843828715365237,0.5591397849462365,397.0
Adventure,0.47115384615384615,0.19066147859922178,0.27146814404432135,257.0
Animation,0.6785714285714286,0.3825503355704698,0.4892703862660944,149.0
Comedy,0.6182965299684543,0.4057971014492754,0.49,483.0
Crime,0.6335877862595419,0.4256410256410256,0.50920245398773,195.0
Documentary,0.7777777777777778,0.22580645161290322,0.35,31.0
Drama,0.6674528301886793,0.4772344013490725,0.5565388397246804,593.0
Family,0.6538461538461539,0.397196261682243,0.4941860465116279,214.0
Fantasy,0.6710526315789473,0.30538922155688625,0.41975308641975306,167.0
History,0.4444444444444444,0.11594202898550725,0.1839080459770115,69.0
Horror,0.6791044776119403,0.4272300469483568,0.5244956772334294,213.0
Music,0.5217391304347826,0.5,0.5106382978723404,48.0
Mystery,0.5,0.08064516129032258,0.1388888888888889,124.0
Romance,0.6068965517241379,0.36363636363636365,0.45478036175710596,242.0
Science Fiction,0.7184466019417476,0.4134078212290503,0.524822695035461,179.0
TV Movie,0.5,0.020833333333333332,0.04,48.0
Thriller,0.6124031007751938,0.39012345679012345,0.4766214177978884,405.0
War,0.40476190476190477,0.3695652173913043,0.38636363636363635,46.0
Western,0.8461538461538461,0.36666666666666664,0.5116279069767442,30.0
micro avg,0.6385281385281385,0.3791773778920309,0.47580645161290325,3890.0
macro avg,0.6169591829086155,0.33246129794135676,0.41535292998962897,3890.0
weighted avg,0.6310030388417117,0.3791773778920309,0.46672419759809636,3890.0
samples avg,0.6452599388379205,0.4047301587301587,0.43833674843674847,3890.0
