,precision,recall,f1-score,support
Action,0.7104072398190046,0.3954659949622166,0.5080906148867314,397.0
Adventure,0.525,0.08171206225680934,0.1414141414141414,257.0
Animation,0.6923076923076923,0.30201342281879195,0.4205607476635514,149.0
Comedy,0.6125461254612546,0.34368530020703936,0.4403183023872679,483.0
Crime,0.6272727272727273,0.35384615384615387,0.4524590163934426,195.0
Documentary,0.625,0.16129032258064516,0.2564102564102564,31.0
Drama,0.6809116809116809,0.403035413153457,0.5063559322033898,593.0
Family,0.6190476190476191,0.3037383177570093,0.40752351097178685,214.0
Fantasy,0.6666666666666666,0.20359281437125748,0.3119266055045872,167.0
History,0.5,0.014492753623188406,0.028169014084507043,69.0
Horror,0.6822429906542056,0.3427230046948357,0.45625,213.0
Music,0.5476190476190477,0.4791666666666667,0.5111111111111111,48.0
Mystery,0.6666666666666666,0.03225806451612903,0.06153846153846154,124.0
Romance,0.5714285714285714,0.24793388429752067,0.345821325648415,242.0
Science Fiction,0.7375,0.329608938547486,0.4555984555984556,179.0
TV Movie,0.5,0.041666666666666664,0.07692307692307693,48.0
Thriller,0.6301369863013698,0.34074074074074073,0.4423076923076923,405.0
War,0.47368421052631576,0.1956521739130435,0.27692307692307694,46.0
Western,0.8,0.4,0.5333333333333333,30.0
micro avg,0.6490939044481054,0.3038560411311054,0.413938014358256,3890.0
macro avg,0.6246546434043591,0.26171698397998205,0.3491070881738571,3890.0
weighted avg,0.6399272330981531,0.3038560411311054,0.40031800818201085,3890.0
samples avg,0.6644729093050649,0.32961904761904764,0.3693423280423281,3890.0
