,precision,recall,f1-score,support
Action,0.7222222222222222,0.4256926952141058,0.5356576862123613,397.0
Adventure,0.5517241379310345,0.1245136186770428,0.20317460317460317,257.0
Animation,0.704225352112676,0.33557046979865773,0.45454545454545453,149.0
Comedy,0.6167247386759582,0.36645962732919257,0.4597402597402597,483.0
Crime,0.6260869565217392,0.36923076923076925,0.4645161290322581,195.0
Documentary,0.7142857142857143,0.16129032258064516,0.2631578947368421,31.0
Drama,0.6831955922865014,0.418212478920742,0.5188284518828452,593.0
Family,0.625,0.32710280373831774,0.4294478527607362,214.0
Fantasy,0.6779661016949152,0.23952095808383234,0.35398230088495575,167.0
History,0.75,0.08695652173913043,0.15584415584415584,69.0
Horror,0.6724137931034483,0.36619718309859156,0.47416413373860183,213.0
Music,0.5454545454545454,0.5,0.5217391304347826,48.0
Mystery,0.625,0.04032258064516129,0.07575757575757576,124.0
Romance,0.6068376068376068,0.29338842975206614,0.3955431754874652,242.0
Science Fiction,0.7317073170731707,0.33519553072625696,0.45977011494252873,179.0
TV Movie,0.4,0.041666666666666664,0.07547169811320754,48.0
Thriller,0.6163793103448276,0.3530864197530864,0.4489795918367347,405.0
War,0.4583333333333333,0.2391304347826087,0.3142857142857143,46.0
Western,0.8,0.4,0.5333333333333333,30.0
micro avg,0.6515074092999489,0.3277634961439589,0.4361210877373012,3890.0
macro avg,0.6382924590461945,0.28544934267036176,0.375681013512864,3890.0
weighted avg,0.6473165325285236,0.3277634961439589,0.42472980262847165,3890.0
samples avg,0.6654085383093017,0.3533746031746032,0.3915693121693121,3890.0
