,precision,recall,f1-score,support
Action,,0.0,0.0,397.0
Adventure,,0.0,0.0,257.0
Animation,,0.0,0.0,149.0
Comedy,,0.0,0.0,483.0
Crime,,0.0,0.0,195.0
Documentary,,0.0,0.0,31.0
Drama,,0.0,0.0,593.0
Family,,0.0,0.0,214.0
Fantasy,,0.0,0.0,167.0
History,,0.0,0.0,69.0
Horror,,0.0,0.0,213.0
Music,,0.0,0.0,48.0
Mystery,,0.0,0.0,124.0
Romance,,0.0,0.0,242.0
Science Fiction,,0.0,0.0,179.0
TV Movie,,0.0,0.0,48.0
Thriller,,0.0,0.0,405.0
War,,0.0,0.0,46.0
Western,,0.0,0.0,30.0
micro avg,,0.0,0.0,3890.0
macro avg,,0.0,0.0,3890.0
weighted avg,,0.0,0.0,3890.0
samples avg,,0.0,0.0,3890.0
