,precision,recall,f1-score,support
Action,0.7108433734939759,0.44584382871536526,0.5479876160990712,397.0
Adventure,0.4942528735632184,0.16731517509727625,0.25,257.0
Animation,0.675,0.3624161073825503,0.47161572052401746,149.0
Comedy,0.6174496644295302,0.38095238095238093,0.471190781049936,483.0
Crime,0.6260162601626016,0.39487179487179486,0.48427672955974843,195.0
Documentary,0.75,0.1935483870967742,0.3076923076923077,31.0
Drama,0.6733167082294265,0.45531197301854975,0.5432595573440644,593.0
Family,0.6587301587301587,0.3878504672897196,0.48823529411764705,214.0
Fantasy,0.6764705882352942,0.2754491017964072,0.39148936170212767,167.0
History,0.5333333333333333,0.11594202898550725,0.19047619047619047,69.0
Horror,0.6793893129770993,0.41784037558685444,0.5174418604651163,213.0
Music,0.5217391304347826,0.5,0.5106382978723404,48.0
Mystery,0.5,0.04838709677419355,0.08823529411764706,124.0
Romance,0.6183206106870229,0.3347107438016529,0.4343163538873995,242.0
Science Fiction,0.7159090909090909,0.35195530726256985,0.47191011235955055,179.0
TV Movie,0.5,0.020833333333333332,0.04,48.0
Thriller,0.6031746031746031,0.37530864197530867,0.4627092846270928,405.0
War,0.42857142857142855,0.32608695652173914,0.37037037037037035,46.0
Western,0.7857142857142857,0.36666666666666664,0.5,30.0
micro avg,0.641735918744229,0.35732647814910024,0.45904887714663145,3890.0
macro avg,0.619380601191887,0.3116468614278234,0.39693921748761196,3890.0
weighted avg,0.6335413784506506,0.35732647814910024,0.4486848185357611,3890.0
samples avg,0.6483120680489102,0.3813301587301587,0.41653015873015875,3890.0
