,precision,recall,f1-score,support
Action,0.7137254901960784,0.45843828715365237,0.558282208588957,397.0
Adventure,0.47706422018348627,0.20233463035019456,0.28415300546448086,257.0
Animation,0.6904761904761905,0.38926174496644295,0.4978540772532189,149.0
Comedy,0.6170886075949367,0.40372670807453415,0.4881101376720901,483.0
Crime,0.6240601503759399,0.4256410256410256,0.5060975609756098,195.0
Documentary,0.8,0.25806451612903225,0.3902439024390244,31.0
Drama,0.6745283018867925,0.4822934232715008,0.5624385447394297,593.0
Family,0.6564885496183206,0.40186915887850466,0.4985507246376812,214.0
Fantasy,0.6582278481012658,0.31137724550898205,0.42276422764227645,167.0
History,0.4444444444444444,0.11594202898550725,0.1839080459770115,69.0
Horror,0.6716417910447762,0.4225352112676056,0.5187319884726225,213.0
Music,0.5111111111111111,0.4791666666666667,0.4946236559139785,48.0
Mystery,0.4166666666666667,0.08064516129032258,0.13513513513513514,124.0
Romance,0.6164383561643836,0.371900826446281,0.4639175257731959,242.0
Science Fiction,0.6880733944954128,0.41899441340782123,0.5208333333333334,179.0
TV Movie,0.5,0.020833333333333332,0.04,48.0
Thriller,0.6038461538461538,0.38765432098765434,0.47218045112781953,405.0
War,0.4186046511627907,0.391304347826087,0.4044943820224719,46.0
Western,0.8461538461538461,0.36666666666666664,0.5116279069767442,30.0
micro avg,0.6359743040685225,0.38174807197943444,0.4771084337349398,3890.0
macro avg,0.6120336722906631,0.33624472193956917,0.41862877969184636,3890.0
weighted avg,0.6270582509637981,0.38174807197943444,0.46850670104272224,3890.0
samples avg,0.6428174001011634,0.40691904761904757,0.44075897065897063,3890.0
