,precision,recall,f1-score,support
Action,0.7165354330708661,0.45843828715365237,0.5591397849462365,397.0
Adventure,0.48514851485148514,0.19066147859922178,0.2737430167597765,257.0
Animation,0.6867469879518072,0.3825503355704698,0.49137931034482757,149.0
Comedy,0.6217948717948718,0.40165631469979296,0.4880503144654088,483.0
Crime,0.625,0.41025641025641024,0.4953560371517028,195.0
Documentary,0.7777777777777778,0.22580645161290322,0.35,31.0
Drama,0.6642857142857143,0.47048903878583476,0.5508390918065152,593.0
Family,0.6484375,0.3878504672897196,0.4853801169590643,214.0
Fantasy,0.684931506849315,0.2994011976047904,0.4166666666666667,167.0
History,0.5,0.11594202898550725,0.18823529411764706,69.0
Horror,0.674074074074074,0.4272300469483568,0.5229885057471264,213.0
Music,0.5217391304347826,0.5,0.5106382978723404,48.0
Mystery,0.5,0.07258064516129033,0.1267605633802817,124.0
Romance,0.6126760563380281,0.359504132231405,0.453125,242.0
Science Fiction,0.7157894736842105,0.37988826815642457,0.49635036496350365,179.0
TV Movie,0.5,0.020833333333333332,0.04,48.0
Thriller,0.61328125,0.38765432098765434,0.4750378214826021,405.0
War,0.425,0.3695652173913043,0.3953488372093023,46.0
Western,0.8461538461538461,0.36666666666666664,0.5116279069767442,30.0
micro avg,0.6402465874064289,0.3737789203084833,0.47200129849050476,3890.0
macro avg,0.6220722177508832,0.3277355074439336,0.41214036478156557,3890.0
weighted avg,0.6333381452315224,0.3737789203084833,0.46266911517548653,3890.0
samples avg,0.6457301341589267,0.39955238095238094,0.4327584415584415,3890.0
