,precision,recall,f1-score,support
Action,0.7164948453608248,0.3501259445843829,0.4703891708967851,397.0
Adventure,0.4166666666666667,0.019455252918287938,0.03717472118959108,257.0
Animation,0.6382978723404256,0.20134228187919462,0.30612244897959184,149.0
Comedy,0.6382978723404256,0.2484472049689441,0.35767511177347244,483.0
Crime,0.6236559139784946,0.29743589743589743,0.4027777777777778,195.0
Documentary,0.7142857142857143,0.16129032258064516,0.2631578947368421,31.0
Drama,0.6966666666666667,0.3524451939291737,0.46808510638297873,593.0
Family,0.6025641025641025,0.21962616822429906,0.3219178082191781,214.0
Fantasy,0.7096774193548387,0.1317365269461078,0.2222222222222222,167.0
History,,0.0,0.0,69.0
Horror,0.6818181818181818,0.28169014084507044,0.39867109634551495,213.0
Music,0.5833333333333334,0.4375,0.5,48.0
Mystery,0.8,0.03225806451612903,0.06201550387596899,124.0
Romance,0.6144578313253012,0.21074380165289255,0.31384615384615383,242.0
Science Fiction,0.7619047619047619,0.2681564245810056,0.39669421487603307,179.0
TV Movie,,0.0,0.0,48.0
Thriller,0.6284153005464481,0.2839506172839506,0.391156462585034,405.0
War,0.4444444444444444,0.17391304347826086,0.25,46.0
Western,0.8888888888888888,0.26666666666666666,0.41025641025641024,30.0
micro avg,0.662020905923345,0.2442159383033419,0.3568075117370892,3890.0
macro avg,0.6564629303423246,0.20719913434162673,0.29327168968229234,3890.0
weighted avg,0.6515786671256488,0.2442159383033419,0.34209132107592555,3890.0
samples avg,0.6796334716459197,0.2684238095238095,0.3094867724867725,3890.0
