,precision,recall,f1-score,support
Action,0.722007722007722,0.47103274559193953,0.5701219512195121,397.0
Adventure,0.49586776859504134,0.23346303501945526,0.31746031746031744,257.0
Animation,0.686046511627907,0.3959731543624161,0.502127659574468,149.0
Comedy,0.6104294478527608,0.41200828157349895,0.4919653893695921,483.0
Crime,0.6357142857142857,0.4564102564102564,0.5313432835820896,195.0
Documentary,0.6923076923076923,0.2903225806451613,0.4090909090909091,31.0
Drama,0.671264367816092,0.4924114671163575,0.5680933852140078,593.0
Family,0.6567164179104478,0.411214953271028,0.5057471264367817,214.0
Fantasy,0.65,0.31137724550898205,0.42105263157894735,167.0
History,0.5,0.11594202898550725,0.18823529411764706,69.0
Horror,0.6791044776119403,0.4272300469483568,0.5244956772334294,213.0
Music,0.5217391304347826,0.5,0.5106382978723404,48.0
Mystery,0.4666666666666667,0.11290322580645161,0.18181818181818182,124.0
Romance,0.6308724832214765,0.3884297520661157,0.48081841432225064,242.0
Science Fiction,0.6972477064220184,0.4245810055865922,0.5277777777777778,179.0
TV Movie,0.6666666666666666,0.041666666666666664,0.0784313725490196,48.0
Thriller,0.6091954022988506,0.3925925925925926,0.4774774774774775,405.0
War,0.4857142857142857,0.3695652173913043,0.41975308641975306,46.0
Western,0.8461538461538461,0.36666666666666664,0.5116279069767442,30.0
micro avg,0.6405857740585774,0.393573264781491,0.4875796178343949,3890.0
macro avg,0.6275639410011834,0.3480942590636499,0.4325303231626972,3890.0
weighted avg,0.6348832475428177,0.393573264781491,0.4798132597245908,3890.0
samples avg,0.644091249065071,0.4181746031746032,0.4515399230399231,3890.0
