,precision,recall,f1-score,support
Action,0.721830985915493,0.5163727959697733,0.6020558002936858,397.0
Adventure,0.5566037735849056,0.22957198443579765,0.325068870523416,257.0
Animation,0.7777777777777778,0.3288590604026846,0.46226415094339623,149.0
Comedy,0.635678391959799,0.5238095238095238,0.5743473325766175,483.0
Crime,0.6859504132231405,0.4256410256410256,0.5253164556962026,195.0
Documentary,0.8333333333333334,0.16129032258064516,0.2702702702702703,31.0
Drama,0.7117903930131004,0.5497470489038786,0.6203615604186489,593.0
Family,0.7166666666666667,0.40186915887850466,0.5149700598802395,214.0
Fantasy,0.6792452830188679,0.2155688622754491,0.32727272727272727,167.0
History,0.42105263157894735,0.11594202898550725,0.18181818181818182,69.0
Horror,0.6736111111111112,0.45539906103286387,0.5434173669467787,213.0
Music,0.5172413793103449,0.3125,0.38961038961038963,48.0
Mystery,0.4411764705882353,0.12096774193548387,0.189873417721519,124.0
Romance,0.6690647482014388,0.384297520661157,0.4881889763779528,242.0
Science Fiction,0.7731958762886598,0.41899441340782123,0.5434782608695652,179.0
TV Movie,0.5,0.020833333333333332,0.04,48.0
Thriller,0.6156462585034014,0.4469135802469136,0.5178826895565093,405.0
War,0.6451612903225806,0.43478260869565216,0.5194805194805194,46.0
Western,0.6153846153846154,0.26666666666666666,0.37209302325581395,30.0
micro avg,0.6698465367067606,0.41516709511568123,0.5126170449135058,3890.0
macro avg,0.6416005999885485,0.33315930199277277,0.4214615817638123,3890.0
weighted avg,0.6619224446171722,0.41516709511568123,0.5000201245371885,3890.0
samples avg,0.6738256719417232,0.4521523809523809,0.4776536796536796,3890.0
