,precision,recall,f1-score,support
Action,0.716,0.4508816120906801,0.5533230293663061,397.0
Adventure,0.4731182795698925,0.17120622568093385,0.25142857142857145,257.0
Animation,0.6790123456790124,0.3691275167785235,0.4782608695652174,149.0
Comedy,0.6208053691275168,0.3830227743271222,0.4737516005121639,483.0
Crime,0.624,0.4,0.4875,195.0
Documentary,0.7777777777777778,0.22580645161290322,0.35,31.0
Drama,0.6699029126213593,0.4654300168634064,0.5492537313432836,593.0
Family,0.6535433070866141,0.3878504672897196,0.4868035190615836,214.0
Fantasy,0.676056338028169,0.2874251497005988,0.40336134453781514,167.0
History,0.5333333333333333,0.11594202898550725,0.19047619047619047,69.0
Horror,0.6691176470588235,0.4272300469483568,0.5214899713467048,213.0
Music,0.5217391304347826,0.5,0.5106382978723404,48.0
Mystery,0.46153846153846156,0.04838709677419355,0.08759124087591241,124.0
Romance,0.6176470588235294,0.34710743801652894,0.4444444444444444,242.0
Science Fiction,0.7065217391304348,0.36312849162011174,0.4797047970479705,179.0
TV Movie,0.5,0.020833333333333332,0.04,48.0
Thriller,0.6031746031746031,0.37530864197530867,0.4627092846270928,405.0
War,0.43243243243243246,0.34782608695652173,0.3855421686746988,46.0
Western,0.7857142857142857,0.36666666666666664,0.5,30.0
micro avg,0.6396559529198732,0.36323907455012855,0.4633546483030005,3890.0
macro avg,0.6169176327121594,0.31858842345370614,0.4029620558515945,3890.0
weighted avg,0.6303217906711792,0.36323907455012855,0.4531089012591419,3890.0
samples avg,0.645820189274448,0.38899682539682534,0.42288783068783065,3890.0
