,precision,recall,f1-score,support
Action,0.7184466019417476,0.37279596977329976,0.49087893864013266,397.0
Adventure,0.5862068965517241,0.06614785992217899,0.11888111888111888,257.0
Animation,0.6545454545454545,0.24161073825503357,0.35294117647058826,149.0
Comedy,0.6169354838709677,0.3167701863354037,0.4186046511627907,483.0
Crime,0.64,0.3282051282051282,0.43389830508474575,195.0
Documentary,0.7142857142857143,0.16129032258064516,0.2631578947368421,31.0
Drama,0.6850152905198776,0.3777403035413153,0.48695652173913045,593.0
Family,0.5806451612903226,0.2523364485981308,0.3517915309446254,214.0
Fantasy,0.7142857142857143,0.17964071856287425,0.28708133971291866,167.0
History,,0.0,0.0,69.0
Horror,0.68,0.3192488262910798,0.43450479233226835,213.0
Music,0.575,0.4791666666666667,0.5227272727272727,48.0
Mystery,0.8,0.03225806451612903,0.06201550387596899,124.0
Romance,0.5806451612903226,0.2231404958677686,0.32238805970149254,242.0
Science Fiction,0.7638888888888888,0.30726256983240224,0.43824701195219123,179.0
TV Movie,,0.0,0.0,48.0
Thriller,0.6341463414634146,0.32098765432098764,0.4262295081967213,405.0
War,0.4444444444444444,0.17391304347826086,0.25,46.0
Western,0.8181818181818182,0.3,0.43902439024390244,30.0
micro avg,0.6553603876438522,0.2781491002570694,0.39054322324490165,3890.0
macro avg,0.6592160571506126,0.23434289456564764,0.3210172640211953,3890.0
weighted avg,0.6569832216990606,0.2781491002570694,0.3763632600063497,3890.0
samples avg,0.6726847521047707,0.3045349206349206,0.3464328042328042,3890.0
