Drama, 3788,
Comedy, 3220,
Thriller, 2752,
Action, 2507,
Adventure, 1756,
Horror, 1582,
Romance, 1507,
Family, 1479,
Crime, 1382,
Science Fiction, 1280,
Fantasy, 1114,
Animation, 1017,
Mystery, 908,
History, 437,
Music, 353,
TV Movie, 321,
War, 310,
Documentary, 238,
Western, 194
